time,pace,bass,drum,vocal,other,loudness_momentary,loudness_short_term,section
0.00,10.79,0.0,0.0,0.201,0.364,,,
0.05,10.93,0.0,0.0,0.206,0.486,,,1
0.10,11.0,0.0,0.0,0.252,0.516,-34.32,-34.32,1
0.15,11.98,0.0,0.0,0.328,0.518,-31.74,-31.74,1
0.20,11.14,0.0,0.0,0.635,0.548,-31.74,-31.74,1
0.25,13.11,0.0,0.0,0.777,0.542,-31.74,-31.74,1
0.30,13.06,0.0,0.0,0.755,0.521,-18.89,-18.89,1
0.35,14.11,0.0,0.0,0.73,0.516,-18.42,-18.42,1
0.40,13.69,0.0,0.0,0.739,0.508,-18.42,-18.42,1
0.45,14.52,0.0,0.0,0.73,0.502,-18.42,-18.42,1
0.50,14.6,0.0,0.0,0.605,0.504,-17.31,-18.25,1
0.55,14.74,0.0,0.0,0.474,0.524,-17.29,-18.97,1
0.60,14.25,0.0,0.0,0.538,0.528,-17.29,-18.97,1
0.65,14.52,0.0,0.0,0.634,0.536,-19.23,-19.08,1
0.70,14.36,0.0,0.0,0.719,0.543,-19.23,-19.08,1
0.75,14.21,0.0,0.0,0.75,0.54,-18.47,-18.45,1
0.80,13.43,0.0,0.0,0.731,0.543,-18.47,-18.45,1
0.85,13.62,0.0,0.0,0.694,0.543,-18.34,-18.29,1
0.90,13.78,0.0,0.0,0.642,0.528,-18.34,-18.29,1
0.95,14.28,0.0,0.0,0.689,0.528,-17.66,-18.4,1
1.00,13.3,0.0,0.0,0.676,0.53,-17.66,-18.4,1
1.05,13.99,0.0,0.0,0.533,0.523,-18.2,-18.74,1
1.10,13.73,0.0,0.0,0.441,0.527,-18.2,-18.74,1
1.15,14.28,0.0,0.0,0.57,0.529,-20.24,-18.97,1
1.20,13.37,0.0,0.0,0.703,0.533,-20.24,-18.97,1
1.25,13.43,0.0,0.0,0.73,0.532,-20.24,-18.97,1
1.30,13.84,0.0,0.0,0.722,0.533,-20.16,-18.79,1
1.35,14.2,0.0,0.0,0.725,0.533,-19.47,-18.68,1
1.40,13.81,0.0,0.0,0.709,0.53,-19.47,-18.68,1
1.45,13.96,0.0,0.0,0.634,0.526,-18.28,-18.61,1
1.50,13.75,0.0,0.0,0.71,0.526,-18.28,-18.61,1
1.55,14.23,0.0,0.0,0.756,0.519,-18.28,-18.61,1
1.60,12.64,0.0,0.0,0.721,0.522,-16.64,-18.26,1
1.65,13.06,0.0,0.0,0.639,0.517,-17.08,-18.32,1
1.70,12.73,0.0,0.0,0.521,0.528,-17.08,-18.32,1
1.75,12.88,0.0,0.0,0.567,0.525,-17.08,-18.32,1
1.80,12.61,0.0,0.0,0.67,0.538,-17.79,-18.47,1
1.85,13.16,0.0,0.0,0.686,0.552,-17.88,-18.45,1
1.90,12.57,0.0,0.0,0.631,0.557,-17.88,-18.45,1
1.95,13.39,0.0,0.0,0.569,0.561,-20.32,-18.6,1
2.00,12.39,0.0,0.0,0.6,0.566,-20.32,-18.6,1
2.05,12.85,0.0,0.0,0.678,0.578,-20.02,-18.6,1
2.10,13.54,0.0,0.0,0.691,0.584,-20.02,-18.6,1
2.15,13.78,0.0,0.0,0.674,0.584,-20.02,-18.6,1
2.20,13.21,0.0,0.0,0.672,0.593,-18.98,-18.56,1
2.25,13.63,0.0,0.0,0.667,0.588,-18.98,-18.56,1
2.30,13.22,0.0,0.0,0.636,0.594,-19.36,-18.59,1
2.35,13.17,0.0,0.0,0.607,0.595,-19.06,-18.67,1
2.40,13.15,0.0,0.0,0.666,0.602,-19.06,-18.67,1
2.45,12.84,0.0,0.0,0.68,0.602,-18.91,-18.65,1
2.50,12.36,0.0,0.0,0.673,0.596,-18.91,-18.65,1
2.55,12.92,0.0,0.0,0.684,0.597,-18.3,-18.51,1
2.60,12.38,0.0,0.0,0.701,0.614,-18.3,-18.51,1
2.65,13.37,0.0,0.0,0.69,0.624,-17.37,-18.39,1
2.70,12.78,0.0,0.0,0.674,0.624,-17.37,-18.39,1
2.75,13.25,0.0,0.0,0.553,0.616,-17.37,-18.39,1
2.80,13.1,0.0,0.0,0.449,0.609,-17.49,-18.48,1
2.85,13.22,0.0,0.0,0.421,0.609,-18.17,-18.58,1
2.90,13.22,0.0,0.0,0.393,0.598,-18.17,-18.58,1
2.95,13.46,0.0,0.0,0.291,0.597,-20.05,-18.69,1
3.00,13.22,0.0,0.0,0.225,0.614,-20.05,-18.69,1
3.05,13.62,0.0,0.0,0.201,0.643,-23.05,-18.64,1
3.10,13.04,0.0,0.0,0.186,0.65,-23.05,-18.64,1
3.15,13.63,0.0,0.0,0.171,0.639,-22.11,-18.53,1
3.20,13.03,0.0,0.0,0.17,0.626,-22.11,-18.53,1
3.25,13.08,0.0,0.0,0.172,0.61,-22.11,-18.53,1
3.30,13.02,0.0,0.0,0.182,0.596,-22.02,-18.87,1
3.35,13.08,0.0,0.0,0.195,0.599,-21.79,-19.04,1
3.40,13.16,0.0,0.0,0.216,0.616,-21.79,-19.04,1
3.45,13.23,0.0,0.0,0.237,0.622,-21.59,-19.16,1
3.50,13.03,0.0,0.0,0.233,0.609,-21.59,-19.16,1
3.55,13.65,0.0,0.0,0.262,0.608,-22.72,-19.12,1
3.60,13.78,0.0,0.0,0.432,0.609,-22.72,-19.12,1
3.65,13.77,0.0,0.0,0.678,0.615,-20.33,-18.99,1
3.70,13.27,0.0,0.0,0.751,0.625,-20.33,-18.99,1
3.75,13.63,0.0,0.0,0.738,0.625,-17.62,-18.9,1
3.80,13.11,0.0,0.0,0.683,0.616,-17.62,-18.9,1
3.85,13.44,0.0,0.0,0.632,0.612,-17.43,-19.0,1
3.90,13.18,0.0,0.0,0.686,0.617,-17.43,-19.0,1
3.95,12.97,0.0,0.0,0.722,0.618,-16.22,-18.82,1
4.00,12.93,0.0,0.0,0.725,0.613,-16.22,-18.82,1
4.05,13.0,0.0,0.0,0.699,0.617,-16.22,-18.82,1
4.10,12.68,0.0,0.0,0.667,0.616,-15.79,-18.51,1
4.15,12.8,0.0,0.0,0.715,0.624,-16.18,-18.28,1
4.20,12.41,0.0,0.0,0.707,0.615,-16.18,-18.28,1
4.25,12.73,0.0,0.0,0.613,0.595,-16.11,-18.37,1
4.30,12.52,0.0,0.0,0.554,0.583,-16.11,-18.37,1
4.35,12.54,0.0,0.0,0.694,0.591,-16.68,-18.39,1
4.40,12.65,0.0,0.0,0.755,0.587,-16.68,-18.39,1
4.45,12.84,0.0,0.0,0.749,0.579,-16.91,-18.29,1
4.50,12.67,0.0,0.0,0.738,0.594,-16.91,-18.29,1
4.55,12.46,0.0,0.0,0.712,0.606,-17.01,-18.35,1
4.60,12.83,0.0,0.0,0.677,0.605,-17.01,-18.35,1
4.65,12.48,0.0,0.0,0.651,0.599,-16.49,-18.25,1
4.70,12.15,0.0,0.0,0.739,0.597,-16.49,-18.25,1
4.75,12.25,0.0,0.0,0.761,0.585,-15.27,-17.89,1
4.80,12.11,0.0,0.0,0.744,0.578,-15.27,-17.89,1
4.85,12.22,0.0,0.0,0.716,0.578,-15.41,-17.82,1
4.90,11.57,0.0,0.0,0.553,0.594,-15.41,-17.82,1
4.95,11.94,0.0,0.0,0.491,0.596,-16.12,-17.79,1
5.00,11.66,0.0,0.0,0.636,0.611,-16.12,-17.79,1
5.05,11.87,0.0,0.0,0.707,0.634,-15.98,-17.7,1
5.10,11.4,0.0,0.0,0.703,0.623,-15.98,-17.7,1
5.15,11.71,0.0,0.0,0.726,0.62,-16.77,-17.6,1
5.20,11.57,0.0,0.0,0.708,0.607,-16.77,-17.6,1
5.25,11.81,0.0,0.0,0.584,0.59,-17.29,-17.58,1
5.30,11.58,0.0,0.0,0.726,0.587,-17.29,-17.58,1
5.35,11.68,0.0,0.0,0.769,0.573,-15.98,-17.37,1
5.40,11.4,0.0,0.0,0.743,0.577,-15.98,-17.37,1
5.45,11.72,0.0,0.0,0.693,0.591,-16.03,-17.31,1
5.50,11.39,0.0,0.0,0.539,0.601,-16.03,-17.31,1
5.55,11.77,0.0,0.0,0.61,0.607,-16.99,-17.43,1
5.60,11.35,0.0,0.0,0.72,0.612,-16.99,-17.43,1
5.65,11.65,0.0,0.0,0.7,0.606,-16.27,-17.41,1
