time,type,label,probability
0.026,beat,1,
0.026,bar,1,
0.06,word,We're,
0.25,segment,1,0.661
0.25,phrase,1,0.52
0.54,word,not,
0.6,word,saying,
0.72,word,that,
0.883,beat,2,
0.96,word,planet,
1.26,word,Earth,
1.68,word,is,
1.74,beat,3,
1.98,word,coming,
2.16,word,to,
2.34,word,an,
2.46,word,end.,
2.597,beat,4,
3.4,phrase,2,0.494
3.454,beat,5,
3.454,bar,2,
3.6,word,We're,
4.02,word,saying,
4.14,word,that,
4.311,beat,6,
4.32,word,planet,
4.5,word,Earth,
4.92,word,is,
5.169,beat,7,
5.22,word,about,
5.34,word,to,
5.58,word,be,
5.76,word,refurbished,
6.026,beat,8,
6.65,segment,2,0.25
6.65,phrase,3,0.913
6.883,beat,9,
6.883,bar,3,
7.74,beat,10,
7.74,word,spaded,
8.22,word,under,
8.597,beat,11,
8.7,word,and,
9.12,word,have,
9.3,word,another,
9.454,beat,12,
9.48,word,chance,
9.72,word,to,
10.1,phrase,4,0.534
10.2,word,serve,
10.311,beat,13,
10.311,bar,4,
10.92,word,as,
11.1,word,a,
11.169,beat,14,
11.28,word,garden,
11.58,word,for,
11.94,word,another,
12.026,beat,15,
12.18,word,human,
12.72,word,civilization.,
12.883,beat,16,
13.4,section,1,0.66
13.5,segment,3,0.953
13.5,phrase,5,0.979
13.74,beat,17,
13.74,bar,5,
14.597,beat,18,
15.454,beat,19,
16.311,beat,20,
17.1,phrase,6,0.455
17.169,beat,21,
17.169,bar,6,
18.026,beat,22,
18.42,word,And,
18.72,word,the,
18.883,beat,23,
18.96,word,more,
19.32,word,I,
19.56,word,do,
19.74,beat,24,
20.1,word,and,
20.4,word,the,
20.45,segment,4,0.261
20.45,phrase,7,0.941
20.58,word,more,
20.597,beat,25,
20.597,bar,7,
20.82,word,I,
21.18,word,do,
21.454,beat,26,
21.78,word,and,
22.08,word,the,
22.311,beat,27,
22.38,word,more,
22.56,word,I,
23.1,word,do,
23.169,beat,28,
23.52,word,and,
23.8,phrase,8,0.512
23.82,word,the,
24.026,beat,29,
24.026,bar,8,
24.06,word,more,
24.24,word,I,
24.6,word,do,
24.883,beat,30,
25.14,word,and,
25.5,word,the,
25.68,word,more,
25.74,beat,31,
25.92,word,I,
26.28,word,do.,
26.597,beat,32,
27.4,section,2,0.949
27.45,segment,5,0.997
27.45,phrase,9,0.996
27.454,beat,33,
27.454,bar,9,
28.311,beat,34,
29.169,beat,35,
30.026,beat,36,
30.883,beat,37,
30.883,bar,10,
30.9,phrase,10,0.724
31.74,beat,38,
32.597,beat,39,
33.454,beat,40,
34.25,phrase,11,0.988
34.311,beat,41,
34.311,bar,11,
34.35,segment,6,0.65
35.169,beat,42,
36.026,beat,43,
36.883,beat,44,
37.6,phrase,12,0.802
37.74,beat,45,
37.74,bar,12,
38.597,beat,46,
39.454,beat,47,
40.311,beat,48,
41.1,section,3,0.457
41.1,segment,7,0.99
41.1,phrase,13,0.997
41.169,beat,49,
41.169,bar,13,
42.026,beat,50,
42.883,beat,51,
43.74,beat,52,
44.55,phrase,14,0.783
44.597,beat,53,
44.597,bar,14,
45.454,beat,54,
46.311,beat,55,
47.169,beat,56,
48.0,segment,8,0.677
48.0,phrase,15,0.991
48.026,beat,57,
48.026,bar,15,
48.883,beat,58,
49.68,word,Yes,
49.74,beat,59,
50.597,beat,60,
51.35,phrase,16,0.681
51.454,beat,61,
51.454,bar,16,
52.311,beat,62,
53.169,beat,63,
54.026,beat,64,
54.8,segment,9,0.997
54.85,section,4,0.921
